"category","description","net_amount","currency"
"starting_balance","Starting balance (2025-05-01)","3684.80","nok"
"activity_gross","Account activity before fees","41800.00","nok"
"activity_fee","Less fees","-1225.20","nok"
"activity","Activity","40574.80","nok"
"payouts_gross","Payouts to bank","-39794.00","nok"
"payouts_fee","Payout fees","0.00","nok"
"payouts","Total payouts","-39794.00","nok"
"ending_balance","Ending balance (2025-05-31)","4465.60","nok"
